Date,open,high,low,close,volume
2021-09-17,312.0,315.35,306.0,308.6,24972069
2021-09-20,304.9,310.25,297.3,298.95,19632688
2021-09-21,298.6,302.7,293.1,301.95,19439330
2021-09-22,303.15,313.8,303.0,310.1,29545253
2021-09-23,313.2,324.0,313.2,321.5,52701665
2021-09-24,325.1,326.95,316.05,317.95,28901243
2021-09-27,323.15,333.6,323.15,331.65,56305136
2021-09-28,334.0,336.0,324.5,329.3,28497009
2021-09-29,325.0,333.0,324.0,330.25,19740150
2021-09-30,331.25,337.9,329.1,333.35,30268517
2021-10-01,332.65,337.3,325.7,333.3,29877695
2021-10-04,336.8,343.25,335.15,342.0,29553072
2021-10-05,340.45,351.5,338.85,344.95,31861985
2021-10-06,347.0,348.7,335.0,336.05,25272592
2021-10-07,341.1,383.0,339.25,376.5,163238084
2021-10-08,385.9,397.55,380.0,382.95,93728117
2021-10-11,390.15,420.9,388.0,415.75,113404983
2021-10-12,423.0,435.7,413.6,420.85,97349265
2021-10-13,462.9,523.85,462.9,506.9,197949387
2021-10-14,530.0,530.0,492.0,497.6,103630901
